Clase Original;Clase Predicha
1;[[0.52105147]]
0;[[0.52642405]]
0;[[0.525439]]
0;[[0.5268484]]
0;[[0.5269493]]
0;[[0.5264625]]
1;[[0.5216921]]
0;[[0.50980747]]
0;[[0.52672887]]
1;[[0.5262063]]
1;[[0.5270286]]
0;[[0.5264625]]
1;[[0.5191618]]
0;[[0.5264625]]
0;[[0.52377766]]
1;[[0.52665657]]
1;[[0.52642787]]
1;[[0.52744955]]
0;[[0.5269874]]
1;[[0.5267888]]
1;[[0.523503]]
1;[[0.5266726]]
0;[[0.5259961]]
1;[[0.5277169]]
1;[[0.5270567]]
0;[[0.52423024]]
1;[[0.5270827]]
1;[[0.5237537]]
0;[[0.5264625]]
0;[[0.5210591]]
0;[[0.5167408]]
1;[[0.52669215]]
1;[[0.5270455]]
1;[[0.5209378]]
1;[[0.52530175]]
1;[[0.52677786]]
0;[[0.52677786]]
1;[[0.52372754]]
0;[[0.52669525]]
0;[[0.5264313]]
1;[[0.5267882]]
0;[[0.5262063]]
0;[[0.52668893]]
1;[[0.52470917]]
1;[[0.5270484]]
0;[[0.52681106]]
0;[[0.5267152]]
1;[[0.5184213]]
0;[[0.5264313]]
0;[[0.5260129]]
1;[[0.52667844]]
0;[[0.5236511]]
0;[[0.52559465]]
1;[[0.5270893]]
0;[[0.523864]]
0;[[0.5264625]]
0;[[0.526902]]
1;[[0.52530205]]
1;[[0.52702284]]
0;[[0.5262063]]
0;[[0.52676886]]
1;[[0.52460045]]
0;[[0.5267987]]
1;[[0.52673405]]
1;[[0.5267293]]
0;[[0.52754354]]
1;[[0.52663314]]
1;[[0.5269657]]
0;[[0.5270827]]
1;[[0.5258274]]
0;[[0.5246155]]
1;[[0.51768863]]
0;[[0.5264135]]
1;[[0.52078336]]
1;[[0.49694473]]
1;[[0.5236443]]
1;[[0.5264625]]
0;[[0.5180651]]
1;[[0.516762]]
0;[[0.5163068]]
0;[[0.5180911]]
1;[[0.5270827]]
0;[[0.52644765]]
0;[[0.5123096]]
0;[[0.52534616]]
0;[[0.5270806]]
0;[[0.49791548]]
0;[[0.5264625]]
1;[[0.5147105]]
0;[[0.5270058]]
1;[[0.5267905]]
0;[[0.5243902]]
0;[[0.5262063]]
1;[[0.5258383]]
0;[[0.5245491]]
1;[[0.52530235]]
1;[[0.52633405]]
0;[[0.52681106]]
0;[[0.52679765]]
0;[[0.5254479]]
0;[[0.5205877]]
0;[[0.523503]]
0;[[0.5264625]]
0;[[0.5265095]]
1;[[0.5266894]]
1;[[0.52683324]]
1;[[0.5262063]]
0;[[0.5270567]]
1;[[0.4979489]]
1;[[0.52681106]]
1;[[0.5275068]]
1;[[0.5262063]]
1;[[0.5235522]]
1;[[0.52662283]]
0;[[0.5270827]]
1;[[0.52676994]]
0;[[0.49381506]]
1;[[0.5270827]]
1;[[0.5270827]]
1;[[0.5196371]]
1;[[0.49681574]]
0;[[0.52698904]]
1;[[0.523629]]
1;[[0.51592815]]
1;[[0.5270827]]
0;[[0.5267293]]
0;[[0.52661586]]
1;[[0.52677786]]
0;[[0.5270618]]
0;[[0.5266789]]
1;[[0.52144927]]
0;[[0.5267293]]
1;[[0.5270803]]
0;[[0.5264625]]
1;[[0.5132327]]
1;[[0.5261448]]
1;[[0.5269515]]
0;[[0.52681106]]
1;[[0.5264625]]
1;[[0.5235752]]
1;[[0.5269229]]
0;[[0.5275793]]
0;[[0.5208909]]
0;[[0.5259481]]
1;[[0.52677786]]
1;[[0.5266983]]
0;[[0.5264625]]
0;[[0.52545816]]
0;[[0.5270827]]
1;[[0.5264625]]
0;[[0.51810527]]
1;[[0.5267882]]
0;[[0.52241796]]
0;[[0.5215088]]
1;[[0.5215674]]
1;[[0.5269874]]
0;[[0.52744955]]
0;[[0.52678245]]
1;[[0.5270034]]
0;[[0.49777076]]
0;[[0.52700275]]
1;[[0.51562774]]
0;[[0.5264625]]
1;[[0.5185517]]
1;[[0.5262063]]
0;[[0.5263149]]
0;[[0.5180728]]
1;[[0.5263941]]
0;[[0.5270827]]
0;[[0.52681106]]
1;[[0.5269727]]
1;[[0.5254571]]
1;[[0.5270803]]
1;[[0.5267293]]
0;[[0.526462]]
0;[[0.52687985]]
1;[[0.5258344]]
