Clase Original;Clase Predicha
1;[[0.49271506]]
0;[[0.48501182]]
0;[[0.48642412]]
0;[[0.48440343]]
0;[[0.4842587]]
0;[[0.48495674]]
1;[[0.4917965]]
0;[[0.50883675]]
0;[[0.48457476]]
1;[[0.485324]]
1;[[0.48414502]]
0;[[0.48495674]]
1;[[0.49542442]]
0;[[0.48495674]]
0;[[0.4888062]]
1;[[0.48467842]]
1;[[0.48500633]]
1;[[0.4835415]]
0;[[0.48420414]]
1;[[0.4844889]]
1;[[0.48920006]]
1;[[0.48465544]]
0;[[0.48562545]]
1;[[0.48315817]]
1;[[0.48410475]]
0;[[0.48815727]]
1;[[0.4840675]]
1;[[0.48884055]]
0;[[0.48495674]]
0;[[0.4927041]]
0;[[0.4988957]]
1;[[0.48462746]]
1;[[0.48412085]]
1;[[0.492878]]
1;[[0.48662102]]
1;[[0.48450455]]
0;[[0.48450455]]
1;[[0.48887807]]
0;[[0.48462296]]
0;[[0.4850014]]
1;[[0.4844897]]
0;[[0.485324]]
0;[[0.48463205]]
1;[[0.48747063]]
1;[[0.48411664]]
0;[[0.4844569]]
0;[[0.4845943]]
1;[[0.49648622]]
0;[[0.4850014]]
0;[[0.48560128]]
1;[[0.48464704]]
0;[[0.48898765]]
0;[[0.48620105]]
1;[[0.484058]]
0;[[0.48868248]]
0;[[0.48495674]]
0;[[0.48432654]]
1;[[0.48662052]]
1;[[0.48415327]]
0;[[0.485324]]
0;[[0.48451746]]
1;[[0.48762652]]
0;[[0.48447457]]
1;[[0.4845673]]
1;[[0.48457417]]
0;[[0.48340666]]
1;[[0.48471203]]
1;[[0.48423523]]
0;[[0.4840675]]
1;[[0.4858673]]
0;[[0.4876049]]
1;[[0.4975367]]
0;[[0.48502696]]
1;[[0.49309945]]
1;[[0.5272794]]
1;[[0.48899743]]
1;[[0.48495674]]
0;[[0.49699694]]
1;[[0.49886525]]
0;[[0.49951798]]
0;[[0.4969597]]
1;[[0.4840675]]
0;[[0.48497796]]
0;[[0.50524914]]
0;[[0.48655733]]
0;[[0.4840705]]
0;[[0.52588755]]
0;[[0.48495674]]
1;[[0.50180674]]
0;[[0.48417774]]
1;[[0.4844864]]
0;[[0.48792794]]
0;[[0.485324]]
1;[[0.48585165]]
0;[[0.48770007]]
1;[[0.48662013]]
1;[[0.48514083]]
0;[[0.4844569]]
0;[[0.48447615]]
0;[[0.4864114]]
0;[[0.49338]]
0;[[0.48920006]]
0;[[0.48495674]]
0;[[0.48488927]]
1;[[0.4846314]]
1;[[0.48442513]]
1;[[0.485324]]
0;[[0.48410475]]
1;[[0.5258396]]
1;[[0.4844569]]
1;[[0.48345935]]
1;[[0.485324]]
1;[[0.48912948]]
1;[[0.48472682]]
0;[[0.4840675]]
1;[[0.48451588]]
0;[[0.5317667]]
1;[[0.4840675]]
1;[[0.4840675]]
1;[[0.494743]]
1;[[0.52746433]]
0;[[0.48420176]]
1;[[0.4890194]]
1;[[0.50006086]]
1;[[0.4840675]]
0;[[0.48457417]]
0;[[0.48473683]]
1;[[0.48450455]]
0;[[0.4840974]]
0;[[0.48464635]]
1;[[0.49214464]]
0;[[0.48457417]]
1;[[0.48407084]]
0;[[0.48495674]]
1;[[0.5039257]]
1;[[0.48541218]]
1;[[0.48425558]]
0;[[0.4844569]]
1;[[0.48495674]]
1;[[0.48909655]]
1;[[0.48429656]]
0;[[0.48335537]]
0;[[0.4929453]]
0;[[0.48569426]]
1;[[0.48450455]]
1;[[0.48461857]]
0;[[0.48495674]]
0;[[0.48639673]]
0;[[0.4840675]]
1;[[0.48495674]]
0;[[0.49693936]]
1;[[0.4844897]]
0;[[0.49075574]]
0;[[0.49205932]]
1;[[0.4919753]]
1;[[0.48420414]]
0;[[0.4835415]]
0;[[0.4844979]]
1;[[0.48418114]]
0;[[0.52609503]]
0;[[0.48418203]]
1;[[0.5004916]]
0;[[0.48495674]]
1;[[0.49629918]]
1;[[0.485324]]
0;[[0.48516834]]
0;[[0.4969859]]
1;[[0.4850547]]
0;[[0.4840675]]
0;[[0.4844569]]
1;[[0.48422515]]
1;[[0.48639825]]
1;[[0.48407084]]
1;[[0.48457417]]
0;[[0.4849574]]
0;[[0.48435825]]
1;[[0.4858573]]
1;[[0.48501137]]
1;[[0.5066137]]
1;[[0.48424697]]
0;[[0.48407084]]
