Clase Original;Clase Predicha
1;[[0.4822557]]
0;[[0.48237678]]
0;[[0.48235458]]
0;[[0.48238635]]
0;[[0.48238862]]
0;[[0.48237765]]
1;[[0.48227015]]
0;[[0.48200232]]
0;[[0.48238364]]
1;[[0.48237187]]
1;[[0.4823904]]
0;[[0.48237765]]
1;[[0.4822131]]
0;[[0.48237765]]
0;[[0.48231715]]
1;[[0.48238203]]
1;[[0.48237687]]
1;[[0.48239988]]
0;[[0.48238948]]
1;[[0.482385]]
1;[[0.48231095]]
1;[[0.4823824]]
0;[[0.48236713]]
1;[[0.4824059]]
1;[[0.48239103]]
0;[[0.48232734]]
1;[[0.48239163]]
1;[[0.4823166]]
0;[[0.48237765]]
0;[[0.48225588]]
0;[[0.48215857]]
1;[[0.4823828]]
1;[[0.4823908]]
1;[[0.48225313]]
1;[[0.48235148]]
1;[[0.48238474]]
0;[[0.48238474]]
1;[[0.48231602]]
0;[[0.4823829]]
0;[[0.48237693]]
1;[[0.48238498]]
0;[[0.48237187]]
0;[[0.48238274]]
1;[[0.48233813]]
1;[[0.48239085]]
0;[[0.4823855]]
0;[[0.48238334]]
1;[[0.48219642]]
0;[[0.48237693]]
0;[[0.48236752]]
1;[[0.4823825]]
0;[[0.4823143]]
0;[[0.4823581]]
1;[[0.48239177]]
0;[[0.4823191]]
0;[[0.48237765]]
0;[[0.48238754]]
1;[[0.48235148]]
1;[[0.48239028]]
0;[[0.48237187]]
0;[[0.48238453]]
1;[[0.4823357]]
0;[[0.48238522]]
1;[[0.48238376]]
1;[[0.48238367]]
0;[[0.482402]]
1;[[0.4823815]]
1;[[0.48238897]]
0;[[0.48239163]]
1;[[0.48236334]]
0;[[0.482336]]
1;[[0.4821799]]
0;[[0.48237655]]
1;[[0.48224965]]
1;[[0.48171246]]
1;[[0.48231414]]
1;[[0.48237765]]
0;[[0.4821884]]
1;[[0.48215905]]
0;[[0.48214877]]
0;[[0.482189]]
1;[[0.48239163]]
0;[[0.48237732]]
0;[[0.4820587]]
0;[[0.4823525]]
0;[[0.48239157]]
0;[[0.48173434]]
0;[[0.48237765]]
1;[[0.4821128]]
0;[[0.4823899]]
1;[[0.48238504]]
0;[[0.48233095]]
0;[[0.48237187]]
1;[[0.48236358]]
0;[[0.48233452]]
1;[[0.4823515]]
1;[[0.48237476]]
0;[[0.4823855]]
0;[[0.4823852]]
0;[[0.4823548]]
0;[[0.48224527]]
0;[[0.48231095]]
0;[[0.48237765]]
0;[[0.4823787]]
1;[[0.48238274]]
1;[[0.482386]]
1;[[0.48237187]]
0;[[0.48239103]]
1;[[0.48173508]]
1;[[0.4823855]]
1;[[0.48240116]]
1;[[0.48237187]]
1;[[0.48231205]]
1;[[0.48238125]]
0;[[0.48239163]]
1;[[0.48238456]]
0;[[0.48164192]]
1;[[0.48239163]]
1;[[0.48239163]]
1;[[0.48222384]]
1;[[0.48170954]]
0;[[0.4823895]]
1;[[0.48231378]]
1;[[0.48214024]]
1;[[0.48239163]]
0;[[0.48238367]]
0;[[0.4823811]]
1;[[0.48238474]]
0;[[0.48239115]]
0;[[0.4823825]]
1;[[0.48226467]]
0;[[0.48238367]]
1;[[0.48239157]]
0;[[0.48237765]]
1;[[0.4820795]]
1;[[0.4823705]]
1;[[0.48238868]]
0;[[0.4823855]]
1;[[0.48237765]]
1;[[0.4823126]]
1;[[0.48238802]]
0;[[0.4824028]]
0;[[0.4822521]]
0;[[0.48236606]]
1;[[0.48238474]]
1;[[0.48238295]]
0;[[0.48237765]]
0;[[0.482355]]
0;[[0.48239163]]
1;[[0.48237765]]
0;[[0.4821893]]
1;[[0.48238498]]
0;[[0.4822865]]
0;[[0.482266]]
1;[[0.48226732]]
1;[[0.48238948]]
0;[[0.48239988]]
0;[[0.48238486]]
1;[[0.48238984]]
0;[[0.48173106]]
0;[[0.4823898]]
1;[[0.48213348]]
0;[[0.48237765]]
1;[[0.48219937]]
1;[[0.48237187]]
0;[[0.4823743]]
0;[[0.48218858]]
1;[[0.4823761]]
0;[[0.48239163]]
0;[[0.4823855]]
1;[[0.48238915]]
1;[[0.482355]]
1;[[0.48239157]]
1;[[0.48238367]]
0;[[0.48237762]]
0;[[0.48238704]]
1;[[0.4823635]]
1;[[0.48237678]]
1;[[0.48203725]]
1;[[0.4823888]]
0;[[0.48239157]]
0;[[0.4821255]]
0;[[0.48238498]]
0;[[0.48236752]]
0;[[0.48238862]]
0;[[0.4823907]]
1;[[0.48239157]]
0;[[0.48239103]]
0;[[0.48238277]]
0;[[0.48238936]]
0;[[0.48178545]]
1;[[0.48239136]]
0;[[0.48238367]]
0;[[0.48239163]]
1;[[0.48236135]]
1;[[0.4823691]]
0;[[0.48237765]]
0;[[0.48237678]]
1;[[0.48238897]]
1;[[0.48238367]]
1;[[0.48239163]]
1;[[0.48238498]]
1;[[0.48233026]]
1;[[0.48238277]]
1;[[0.48218668]]
0;[[0.48237765]]
0;[[0.48239145]]
